Name,WALS code,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Alune,aln,alp,Central Malayo-Polynesian,Austronesian,Papunesia,-3.00,128.33,Indonesia
Alutiiq,atq,ems,Eskimo,Eskimo-Aleut,North America,57.00,-157.00,United States
Alutor,alu,alr,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,61.00,165.00,Russia
Alyawarra,aly,aly,Central Pama-Nyungan,Pama-Nyungan,Australia,-22.50,135.00,Australia
Ama,amm,amm,Left May,Left May,Papunesia,-4.22,141.62,Papua New Guinea
Amahuaca,amc,amc,Panoan,Pano-Tacanan,South America,-10.50,-72.50,BrazilPeru
Amanab,amn,amn,Border,Border,Papunesia,-3.58,141.25,Papua New Guinea
Amara,ama,aie,Oceanic,Austronesian,Papunesia,-5.67,148.50,Papua New Guinea
Amarakaeri,amk,amr,Harakmbet,Harakmbet,South America,-12.50,-70.50,Peru
Ambae (Lolovoli Northeast),aml,omb,Oceanic,Austronesian,Papunesia,-15.42,167.88,Vanuatu
Ambai,amq,amk,South Halmahera - West New Guinea,Austronesian,Papunesia,-1.83,136.50,Indonesia
Ambulas,amb,abt,Ndu,Sepik,Papunesia,-3.83,143.00,Papua New Guinea
Amdo,amd,adx,Bodic,Sino-Tibetan,Eurasia,35.00,100.00,China
Amdo (Themchen),amt,adx,Bodic,Sino-Tibetan,Eurasia,38.00,98.00,Nepal
Amele,ame,aey,Mabuso,Trans-New Guinea,Papunesia,-5.25,145.58,Papua New Guinea
American Sign Language,asl,ase,Sign Languages,other,North America,39.00,-78.00,CanadaUnited States
Amharic,amh,amh,Semitic,Afro-Asiatic,Africa,10.00,38.00,Ethiopia
Amis,ami,ami,East Formosan,Austronesian,Papunesia,23.33,121.33,Taiwan
Amo,amo,amo,Central Kainji,Niger-Congo,Africa,10.33,8.67,Nigeria
Ampeeli,ape,apz,Nuclear Angan,Trans-New Guinea,Papunesia,-6.75,146.08,Papua New Guinea
Amuesha,amu,ame,Yanesha',Arawakan,South America,-10.50,-75.42,Peru
Amuzgo,amz,amu,Amuzgoan,Oto-Manguean,North America,16.83,-98.00,Mexico
Anamuxra,amx,imi,Josephstaal,Trans-New Guinea,Papunesia,-4.67,145.00,Papua New Guinea
Andi,anx,ani,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.75,46.25,Russia
Andoke,adk,ano,Andoke,Andoke,South America,-0.67,-72.00,Colombia
Anejom,anj,aty,Oceanic,Austronesian,Papunesia,-20.20,169.80,Vanuatu
Anêm,ane,anz,Anêm,Anêm,Papunesia,-5.58,149.08,Papua New Guinea
Angaataha,ant,agm,Angaataha,Trans-New Guinea,Papunesia,-7.22,146.25,Papua New Guinea
Angami,agm,njm,Angami-Pochuri,Sino-Tibetan,Eurasia,25.67,94.50,India
Angas,anc,anc,West Chadic,Afro-Asiatic,Africa,9.50,9.50,Nigeria
Anggor,ang,agg,Senagi,Senagi,Papunesia,-3.75,141.17,Papua New Guinea
Angolar,ago,aoa,Creoles and Pidgins,other,Africa,0.25,6.50,São Tomé e Príncipe
Anguthimri,agt,awg,Northern Pama-Nyungan,Pama-Nyungan,Australia,-12.33,141.83,Australia
//Ani,ani,hnh,Khoe-Kwadi,Khoe-Kwadi,Africa,-18.92,21.92,Botswana
Anindilyakwa,ann,aoi,Anindilyakwa,Gunwinyguan,Australia,-14.00,136.50,Australia
Anong,ano,nun,Nungish,Sino-Tibetan,Eurasia,27.33,98.75,ChinaMyanmar
Anufo,anu,cko,Tano,Niger-Congo,Africa,10.08,0.25,TogoBeninGhana
Anyi,ayi,any,Tano,Niger-Congo,Africa,7.00,-3.50,Côte d'Ivoire
Anywa,any,anu,Western Nilotic,Eastern Sudanic,Africa,8.00,33.50,EthiopiaSouth Sudan
Ao,ao,njo,Central Naga,Sino-Tibetan,Eurasia,26.58,94.67,India
Apache (Chiricahua),apc,apm,Athapaskan,Na-Dene,North America,33.25,-108.00,United States
Apache (Jicarilla),apj,apj,Athapaskan,Na-Dene,North America,36.58,-104.00,United States
Apache (Western),apw,apw,Athapaskan,Na-Dene,North America,33.75,-110.00,United States
Apalaí,apl,apy,Cariban,Cariban,South America,0.00,-54.00,Brazil
Apatani,apt,apt,Tani,Sino-Tibetan,Eurasia,27.50,93.75,India
Apinayé,api,apn,Je Setentrional,Macro-Ge,South America,-5.50,-48.00,Brazil
A-Pucikwar,apk,apq,Great Andamanese,Great Andamanese,Eurasia,12.17,92.83,India
Apurinã,apu,apu,Purus,Arawakan,South America,-9.00,-67.00,Brazil
Arabana,abn,ard,Central Pama-Nyungan,Pama-Nyungan,Australia,-28.25,136.25,Australia
Arabela,arb,arl,Zaparoan,Zaparoan,South America,-2.00,-75.17,Peru
Arabic (Bahrain),abh,abv,Semitic,Afro-Asiatic,Eurasia,26.00,50.50,Bahrain
Arabic (Bani-Hassan),ahs,mey,Semitic,Afro-Asiatic,Africa,20.00,-10.00,Mauritania
Arabic (Beirut),abe,apc,Semitic,Afro-Asiatic,Eurasia,33.92,35.50,Lebanon
Arabic (Borno Nigerian),arn,shu,Semitic,Afro-Asiatic,Africa,8.58,12.42,Nigeria
Arabic (Chadian),abb,shu,Semitic,Afro-Asiatic,Africa,13.83,20.83,Chad
Arabic (Eastern Libyan),ael,ayl,Semitic,Afro-Asiatic,Africa,32.00,22.00,Libya
Arabic (Egyptian),aeg,arz,Semitic,Afro-Asiatic,Africa,30.00,31.00,Egypt
Arabic (Gulf),arg,afb,Semitic,Afro-Asiatic,Eurasia,26.00,49.00,KuwaitOmanQatarIranSaudi ArabiaIraqBahrain
Arabic (Hijazi),arh,acw,Semitic,Afro-Asiatic,Eurasia,26.00,38.00,Saudi Arabia
Arabic (Iraqi),arq,acm,Semitic,Afro-Asiatic,Eurasia,33.00,44.00,Iraq
Arabic (Kormakiti),ako,acy,Semitic,Afro-Asiatic,Eurasia,35.25,33.50,Cyprus
Arabic (Kuwaiti),arj,afb,Semitic,Afro-Asiatic,Eurasia,29.50,47.50,Kuwait
Arabic (Lebanese),arl,apc,Semitic,Afro-Asiatic,Eurasia,34.00,36.00,Lebanon
Arabic (Modern Standard),ams,arb,Semitic,Afro-Asiatic,Eurasia,25.00,42.00,KuwaitSomaliaSyriaOmanQatarEgyptTunisiaMoroccoLibyaComoros IslandsJordanLebanonEritreaYemenSaudi ArabiaIraqPalestinian West Bank and GazaAlgeriaUnited Arab EmiratesBahrainSudanIsrael
Arabic (Moroccan),amr,ary,Semitic,Afro-Asiatic,Africa,34.00,-6.00,Morocco
Arabic (Negev),arv,ajp,Semitic,Afro-Asiatic,Eurasia,30.50,34.75,Israel
Arabic (North Levantine Spoken),anl,apc,Semitic,Afro-Asiatic,Eurasia,33.75,36.00,Lebanon
Arabic (Palestinian),apa,ajp,Semitic,Afro-Asiatic,Eurasia,32.00,35.25,Palestinian West Bank and Gaza
Arabic (San'ani),ars,ayn,Semitic,Afro-Asiatic,Eurasia,16.00,44.00,Yemen
Arabic (Syrian),asy,apc,Semitic,Afro-Asiatic,Eurasia,34.00,38.00,Syria
Arabic (Tunisian),atu,aeb,Semitic,Afro-Asiatic,Africa,36.75,10.25,Tunisia
Arakanese (Marma),akm,rmz,Burmese-Lolo,Sino-Tibetan,Eurasia,21.50,92.50,BangladeshMyanmar
Araki,ark,akr,Oceanic,Austronesian,Papunesia,-15.67,166.92,Vanuatu
Aralle-Tabulahan,atb,atq,South Sulawesi,Austronesian,Papunesia,-2.75,119.25,Indonesia
Arandai,ard,jbj,South Bird's Head Proper,South Bird's Head,Papunesia,-2.08,133.00,Indonesia
Araona,ana,aro,Tacanan,Pano-Tacanan,South America,-12.33,-67.75,Bolivia
Arapaho,aho,arp,Algonquian,Algic,North America,40.00,-103.00,United States
Arapesh (Abu),aab,aah,Kombio-Arapesh,Torricelli,Papunesia,-3.45,142.95,Papua New Guinea
Arapesh (Mountain),arp,ape,Kombio-Arapesh,Torricelli,Papunesia,-3.47,143.17,Papua New Guinea
Arbore,abo,arv,Lowland East Cushitic,Afro-Asiatic,Africa,5.00,36.75,Ethiopia
Archi,arc,aqc,Lezgic,Nakh-Daghestanian,Eurasia,42.00,46.83,Russia
'Are'are,arx,alu,Oceanic,Austronesian,Papunesia,-9.25,161.17,Solomon Islands
Aribwatsa,ari,laz,Oceanic,Austronesian,Papunesia,-6.72,147.00,Papua New Guinea
Arikara,akr,ari,Northern Caddoan,Caddoan,North America,45.50,-100.50,United States
Armenian (Eastern),arm,hye,Armenian,Indo-European,Eurasia,40.00,45.00,Armenia
Armenian (Iranian),arz,hye,Armenian,Indo-European,Eurasia,32.67,51.67,Iran
Armenian (Western),arw,hyw,Armenian,Indo-European,Eurasia,38.50,43.50,Turkey
Arop-Lokep,alk,apr,Oceanic,Austronesian,Papunesia,-5.38,147.05,Papua New Guinea
Arosi,aro,aia,Oceanic,Austronesian,Papunesia,-10.25,161.33,Solomon Islands
Arrernte,arr,"aer, are",Central Pama-Nyungan,Pama-Nyungan,Australia,-24.00,134.00,Australia
Arrernte (Mparntwe),amp,aer,Central Pama-Nyungan,Pama-Nyungan,Australia,-24.00,136.00,Australia
Arrernte (Western),awe,are,Central Pama-Nyungan,Pama-Nyungan,Australia,-24.00,132.50,Australia
Asmat,asm,cns,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Papunesia,-5.50,138.50,Indonesia
Assamese,ass,asm,Indic,Indo-European,Eurasia,26.00,93.00,India
Asturian,ast,ast,Romance,Indo-European,Eurasia,43.25,-6.00,Spain
Asuriní,asu,asu,Maweti-Guarani,Tupian,South America,-3.50,-49.50,Brazil
Atacameño,atm,kuz,Kunza,Kunza,South America,-23.00,-69.00,ChileBoliviaArgentina
Atakapa,atk,aqp,Atakapa,Atakapa,North America,30.00,-93.50,United States
Atayal,ata,tay,Atayalic,Austronesian,Papunesia,24.50,121.33,Taiwan
Atchin,atc,upv,Oceanic,Austronesian,Papunesia,-16.00,167.33,Vanuatu
Athpare,ath,aph,Himalayish,Sino-Tibetan,Eurasia,27.00,87.33,Nepal
Atikamekw,ati,atj,Algonquian,Algic,North America,48.00,-74.00,Canada
Atsugewi,ats,atw,Atsugewi,Hokan,North America,40.75,-121.00,United States
Au,au,avt,Central Wapei,Torricelli,Papunesia,-3.58,142.08,Papua New Guinea
Aulua,aul,aul,Oceanic,Austronesian,Papunesia,-16.33,167.67,Vanuatu
Auslan,aus,asf,Sign Languages,other,Australia,-30.00,145.00,Australia
Auyana,auy,auy,Gauwa,Trans-New Guinea,Papunesia,-6.50,145.75,Papua New Guinea
Avar,ava,ava,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.50,46.50,AzerbaijanRussia
Avatime,avt,avn,Ka-Togo,Niger-Congo,Africa,6.83,0.42,Ghana
Avikam,avk,avi,Avikam-Alladian,Niger-Congo,Africa,5.17,-5.50,Côte d'Ivoire
Avokaya,avo,avu,Moru-Ma'di,Central Sudanic,Africa,4.67,30.00,Democratic Republic of CongoSouth Sudan
Awa,awa,awb,Gauwa,Trans-New Guinea,Papunesia,-6.67,145.75,Papua New Guinea
Awadhi,awd,awa,Indic,Indo-European,Eurasia,27.50,81.50,IndiaNepal
Awa Pit,awp,kwi,Barbacoan,Barbacoan,South America,1.50,-78.25,EcuadorColombia
Awngi,awn,awn,Central Cushitic,Afro-Asiatic,Africa,10.83,36.67,Ethiopia
Awtuw,awt,kmn,Ram,Sepik,Papunesia,-3.58,142.00,Papua New Guinea
Awyi,awy,auw,Border,Border,Papunesia,-2.92,140.58,Indonesia
Ayiwo,ayw,nfl,Oceanic,Austronesian,Papunesia,-10.33,166.25,Solomon Islands
Aymara (Central),aym,ayr,Aymaran,Aymaran,South America,-17.00,-69.00,ChileBoliviaPeru
Aynu,ayn,aib,Turkic,Altaic,Eurasia,39.50,76.00,China
Ayomán,ayo,,Jirajaran,Jirajaran,South America,11.00,-69.00,Venezuela
Ayoreo,ayr,ayo,Zamucoan,Zamucoan,South America,-20.25,-59.25,Paraguay
Azari (Iranian),azi,azb,Turkic,Altaic,Eurasia,37.50,47.00,IranIraq
Azerbaijani,aze,"azb, azj",Turkic,Altaic,Eurasia,40.50,48.50,AzerbaijanIran
Baale,blj,koe,South Surmic,Eastern Sudanic,Africa,6.50,34.50,South Sudan
Babole,bbl,bvx,Bantu,Niger-Congo,Africa,1.08,17.25,Congo
Babungo,bab,bav,Wide Grassfields,Niger-Congo,Africa,6.12,10.42,Cameroon
Bachamal,bac,wdj,Wandjiginy,Wandjiginy,Australia,-13.17,130.17,Australia
Badaga,bdg,bfq,Dravidian,Dravidian,Eurasia,11.67,76.75,India
Bade,bad,bde,West Chadic,Afro-Asiatic,Africa,12.83,10.50,Nigeria
Badimaya,bdm,bia,Western Pama-Nyungan,Pama-Nyungan,Australia,-27.67,118.00,Australia
Bafia,bfi,ksf,Bantu,Niger-Congo,Africa,5.00,11.17,Cameroon
Bafut,baf,bfd,Wide Grassfields,Niger-Congo,Africa,6.25,9.92,Cameroon
Baga Sitemu,bgs,bsp,Northern Mel,Niger-Congo,Africa,10.50,-14.50,Guinea
Bagirmi,bag,bmi,Bongo-Bagirmi,Central Sudanic,Africa,11.67,16.00,Chad
Bagiro,bgr,fuu,Bongo-Bagirmi,Central Sudanic,Africa,4.33,20.58,Central African RepublicDemocratic Republic of Congo
Bagri,bgi,bgq,Indic,Indo-European,Eurasia,29.58,74.33,India
Bagvalal,bgv,kva,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.58,46.17,Russia
Baham,bdw,bdw,West Bomberai,Greater West Bomberai,Papunesia,-3.17,132.67,Indonesia
Bahinemo,bhn,bjh,Sepik Hill,Sepik,Papunesia,-4.58,142.83,Papua New Guinea
Bahnar,bpb,bdq,Bahnaric,Austro-Asiatic,Eurasia,13.83,108.33,Vietnam
Bai,bai,bca,Macro-Bai,Sino-Tibetan,Eurasia,26.00,100.00,China
Bajau (Sama),baj,bdl,Sama-Bajaw,Austronesian,Papunesia,-4.33,123.00,Indonesia
Bajau (West Coast),bwc,bdr,Sama-Bajaw,Austronesian,Papunesia,6.33,116.33,Malaysia
Baka (in Cameroon),bak,bkc,Ubangi,Niger-Congo,Africa,2.58,13.58,Cameroon
Baka (in South Sudan),bka,bdh,Bongo-Bagirmi,Central Sudanic,Africa,4.83,29.25,South Sudan
Bakairí,bki,bkq,Cariban,Cariban,South America,-14.00,-55.00,Brazil
Bakueri,bku,bri,Bantu,Niger-Congo,Africa,4.25,9.25,Cameroon
Bakundu,bkn,bdu,Bantu,Niger-Congo,Africa,4.83,9.33,Cameroon
Balangao,blg,blw,Northern Luzon,Austronesian,Papunesia,17.17,121.17,Philippines
Balanta,blz,"bjt, ble",Balanta,Niger-Congo,Africa,12.25,-15.33,Guinea-BissauSenegal
Balantak,blk,blz,Celebic,Austronesian,Papunesia,-0.83,123.25,Indonesia
Balinese,bal,ban,Malayo-Sumbawan,Austronesian,Papunesia,-8.33,115.25,Indonesia
Bali-Vitu,bvi,"bbn, wiv",Oceanic,Austronesian,Papunesia,-4.90,149.12,Papua New Guinea
Balti,blt,bft,Bodic,Sino-Tibetan,Eurasia,35.00,76.00,PakistanIndia
Baluchi,blc,bgn,Iranian,Indo-European,Eurasia,28.00,62.00,PakistanAfghanistanIran
Bambam,bbm,ptu,South Sulawesi,Austronesian,Papunesia,-3.08,119.08,Indonesia
Bambara,bam,bam,Western Mande,Mande,Africa,12.50,-7.50,Mali
Bamun,bmn,bax,Wide Grassfields,Niger-Congo,Africa,5.50,10.92,Cameroon
Bana,ban,bcw,Biu-Mandara,Afro-Asiatic,Africa,10.42,13.58,Cameroon
Banawá,bna,jaa,Arauan,Arauan,South America,-7.00,-65.00,Brazil
Bandi,bnd,bza,Western Mande,Mande,Africa,8.08,-10.25,Liberia
Bandjalang,bnj,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.75,153.00,Australia
Bandjalang (Casino),bca,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.92,153.00,Australia
Bandjalang (Waalubal),bwa,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-29.08,152.58,Australia
Bandjalang (Yugumbir),byu,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-27.92,153.00,Australia
Banggai,bgg,bgz,Celebic,Austronesian,Papunesia,-1.42,123.17,Indonesia
Banggarla,bnl,bjb,Central Pama-Nyungan,Pama-Nyungan,Australia,-32.00,137.00,Australia
Banggi,bgz,bdg,North Borneo,Austronesian,Papunesia,7.25,117.17,Malaysia
Bangime,bgm,dba,Bangime,Bangime,Africa,14.92,-3.83,Mali
Baniva,bnv,bvv,Alto-Orinoco,Arawakan,South America,5.26,-67.56,
Baniwa,bnw,bwi,Japura-Colombia,Arawakan,South America,2.67,-66.83,BrazilVenezuela
Bankon,bnk,abb,Bantu,Niger-Congo,Africa,4.42,9.58,Cameroon
Banoni,bnn,bcm,Oceanic,Austronesian,Papunesia,-6.42,155.25,Papua New Guinea
Bantik,bnt,bnq,Sangiric,Austronesian,Papunesia,1.42,124.75,Indonesia
Bao'an,bao,peh,Mongolic,Altaic,Eurasia,35.75,102.83,China
Baoulé,ble,bci,Tano,Niger-Congo,Africa,7.00,-5.00,Côte d'Ivoire
Baragaunle,brl,loy,Bodic,Sino-Tibetan,Eurasia,28.83,83.83,Nepal
Barai,baa,bbb,Koiarian,Trans-New Guinea,Papunesia,-9.33,148.08,Papua New Guinea
Barambu,bbu,brm,Ubangi,Niger-Congo,Africa,3.50,27.00,Democratic Republic of Congo
Barasano,brs,bsn,Tucanoan,Tucanoan,South America,-0.17,-70.67,Colombia
Bardi,brd,bcj,Nyulnyulan,Nyulnyulan,Australia,-16.58,122.92,Australia
Baré,bae,bae,Japura-Colombia,Arawakan,South America,1.00,-67.00,BrazilVenezuela
Bargam,mug,mlp,Bargam,Trans-New Guinea,Papunesia,-4.88,145.75,Papua New Guinea
Bari,bar,bfa,Eastern Nilotic,Eastern Sudanic,Africa,5.00,31.67,South Sudan
Barí,mti,mot,Barí,Chibchan,South America,9.00,-73.00,ColombiaVenezuela
Bariba,brb,bba,Baatonum,Niger-Congo,Africa,10.00,2.50,NigeriaBenin
Barupu,brp,bpe,Warapu,Skou,Papunesia,-3.08,142.08,Papua New Guinea
Baruya,bry,byr,Nuclear Angan,Trans-New Guinea,Papunesia,-6.92,145.92,Papua New Guinea
Basaá,bas,bas,Bantu,Niger-Congo,Africa,3.92,10.50,Cameroon
Basari,bsr,bsc,Tenda,Niger-Congo,Africa,12.67,-13.00,SenegalGuinea
Bashkir,bsk,bak,Turkic,Altaic,Eurasia,53.00,58.00,Russia
Basque,bsq,eus,Basque,Basque,Eurasia,43.00,-3.00,FranceSpain
Basque (Basaburua and Imoz),bqi,eus,Basque,Basque,Eurasia,43.00,-1.67,Spain
Basque (Bidasoa Valley),bqb,eus,Basque,Basque,Eurasia,43.00,-3.83,Spain
Basque (Gernica),bqg,eus,Basque,Basque,Eurasia,43.33,-3.00,Spain
Basque (Hondarribia),bqh,eus,Basque,Basque,Eurasia,42.50,-3.00,Spain
Basque (Lekeitio),bql,eus,Basque,Basque,Eurasia,43.00,-2.50,Spain
Basque (Northern High Navarrese),bqn,eus,Basque,Basque,Eurasia,43.33,-2.50,Spain
Basque (Oñati),bqo,eus,Basque,Basque,Eurasia,42.50,-3.50,Spain
Basque (Roncalese),bqr,eus,Basque,Basque,Eurasia,43.00,-2.00,Spain
Basque (Sakana),bqs,eus,Basque,Basque,Eurasia,42.50,-2.00,Spain
Basque (Souletin),bso,eus,Basque,Basque,Eurasia,43.50,-1.50,France
Basque (Zeberio),bqz,eus,Basque,Basque,Eurasia,42.00,-3.00,Spain
Batak,bat,bya,Greater Central Philippine,Austronesian,Papunesia,10.25,119.08,Philippines
Batak (Karo),bkr,btx,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,3.25,98.25,Indonesia
Batak (Toba),bto,bbc,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,2.50,99.00,Indonesia
Bathari,bth,bhm,Semitic,Afro-Asiatic,Eurasia,18.00,56.00,Oman
Bau,bau,bbd,Mabuso,Trans-New Guinea,Papunesia,-5.25,145.62,Papua New Guinea
Baure,baq,brg,Bolivia-Parana,Arawakan,South America,-13.08,-64.17,Bolivia
Bauzi,bzi,bvz,Geelvink Bay,Geelvink Bay,Papunesia,-2.50,137.50,Indonesia
Bawm,baw,bgr,Kuki-Chin,Sino-Tibetan,Eurasia,22.50,92.25,BangladeshIndiaMyanmar
Bayso,bys,bsw,Lowland East Cushitic,Afro-Asiatic,Africa,6.25,37.75,Ethiopia
Bayungu,bxj,bxj,Western Pama-Nyungan,Pama-Nyungan,Australia,-23.00,114.00,Australia
Beembe,bee,beq,Bantu,Niger-Congo,Africa,-3.92,14.08,Congo
Begak-Ida'an,beg,dbj,North Borneo,Austronesian,Papunesia,5.25,118.83,Malaysia
Beja,bej,bej,Beja,Afro-Asiatic,Africa,18.00,36.00,EritreaSudan
Belhare,bel,byw,Himalayish,Sino-Tibetan,Eurasia,26.97,87.30,Nepal
Bella Coola,bco,blc,Bella Coola,Salishan,North America,52.50,-126.67,Canada
Belorussian,blr,bel,Slavic,Indo-European,Eurasia,54.00,28.00,Belarus
Bemba,bem,bem,Bantu,Niger-Congo,Africa,-10.00,28.25,Democratic Republic of Congo
