English Name,Local Name
Tankarana,Tankarana
Tarahumara (Central),ralámuli
Tarahumara (Western),tarahumara occidental
Tarascan,Purépecha
Tarok,Tarok
Taroko,Truku
Tat (Roman),Tat (Roman)
Tatar,татар
Tausug,Tausug
Teke (Congo Brazzaville),Teke (Congo Brazzaville)
Teke (Congo Kinshasa),Kiteke (Congo Kinshasa)
Telugu,తెలుగు
Tem,Kotokoli
Teochew,潮州
Teochew (Indonesia),Teochew (Indonesia)
Terêna,Terêna
Tetun Belu,Tetun Belu
Tetun Dili,Tetun Dili
Tewe,Ciutee
Thai,ไทย
Thai (Korat),ไทย (โคราช)
Thai (Northeastern),อีสาน
Thai (Northern),กำเมือง
Thai (Southern),ไทย (ใต้)
Thai Song,ไทยซ้ง
Themne,Themne
Tibetan,བོད་སྐད།
Ticuna,Ticuna
Tigrinya,ትግርኛ
Tii,Rote Tii
Tiv,Tiv
Tlapanec,me̱ʼpha̱a̱
To'abaita,Toabaita
Toaripi,Toaripi
Toba,toba
Tojolabal,tojol-abʼal
Tok Pisin,Tok Pisin
Tokelauan,Faka-Tokelau
Tongan,Faka-Tonga
Toraja,Toraja
Torres Strait Creole,Tores Streit Kriol
Totonac,totonaco
Toupouri,Toupouri
Tshiluba,Tshiluba
Tshwa,ciTshwa
Tsimané,Tsimané
Tsonga,Xitsonga
Tucano,Dahse ye
Tulu,ತುಳು
Tunen,Banen
Turkana,Ng'aturkana
Turkish,Türkçe
Turkish (Cyrillic),Тюркче (Кирил Алфабеси)
Turkish (Meskhetian),ахыска
Turkmen,türkmen
Turkmen (Cyrillic),түркмен (кириллица)
Tuvaluan,Tuvalu
Tuvinian,тыва
Twi,Twi
Twi (Akuapem),Twi (Akuapem)
Twi (Asante),Twi (Asante)
Tyrewuju,Tilewuyu
Tzeltal,tseltal
Tzotzil,tsotsil
Tzutujil,tzʼutujil
Uab Meto,Timor Dawan
Udmurt,удмурт
Uighur (Arabic),ئۇيغۇر تىلى (ئەرەب يېزىقى)
Uighur (Cyrillic),Уйғур (кирилл йезиғи)
Ukrainian,українська
Umbundu,Umbundu
Urdu,اُردو
Urhobo,Urhobo
Uripiv,Uripiv
Uruund,Uruund
Uzbek,ўзбекча
Uzbek (Horezm),ўзбекча (хоразм шеваси)
Uzbek (Roman),o‘zbekcha (lotincha)
Valencian,valencià
Venda,Luvenda
Vezo,Vezo
Vietnamese,Việt
Voru,võro
Wa,Vax
Waama,Waama
Waima,Waima
Waimoa,Waimoa
Wallisian,Faka'uvea
Wanga,Kiwanga
Wapishana,Wapichana
Warao,warao
Waray-Waray,Waray-Waray
Wayuunaiki,Wayuunaiki
Wejewa,Wejewa (Sumba Barat)
Welsh,Cymraeg
Wichi,wichí
Wixárika,wixárika
Wolaita,Wolayttattuwa
Wolof,Wolof
Xavante,A'uwẽ mreme
Xhosa,IsiXhosa
Xârâcùù,Xârâcùù
Yacouba,Yaoba
Yaka,Iyaka
Yakoma,Yakoma
Yakutsk,сахалыы
Yala,Yala
Yambassa,Yambassa
Yami,Yami
Yansi,Iyanzi
Yapese,Waab
Yaqui,jiiak noki
Yemba,Dschang
Yombe,Kiyombe
Yong,Yong
Yoruba,Yorùbá
Yuanga,Yuanga
Yukpa,yukpa
Zande,Zande
Zapotec (Guevea),dîdzrie’
Zapotec (Isthmus),diidxazá
Zapotec (Ixtlán),Dillexhon
Zapotec (Lachiguiri),diitza
Zapotec (Loxicha),diʼste Loxich
Zapotec (Quiatoni),zapoteco de Quiatoni
Zapotec (Quiavicuzas),ditz zea
Zapotec (Santiago Xanica),Zapotec (Santiago Xanica)
Zapotec (Villa Alta),didza xhidza
Zapotec (del Valle),ditsa
Zarma,Zarma
Zazaki (Northern),Zazaca (Kuzey)
Zulu,IsiZulu
