ISO Code,Language Name,Summary,Population Size,Institutional (%),Stable (%),Endangered (%),Extinct (%),Digital Support
abh,"Arabic, Tajiki","Tajiki Arabic is an endangered indigenous language of Tajikistan and Afghanistan. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
abi,Abidji,Abidji is a stable indigenous language of Côte d’Ivoire. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
abj,Aka-Bea,Aka-Bea is an extinct language of India. It belongs to the Andamanese language family.,None,0%,0%,0%,100%,Still
abk,Abkhaz,"Abkhaz is an official language in the parts of Georgia where it is spoken. It belongs to the Abkhaz-Adyghe language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is used as a language of instruction in education.",10K to 1M,100%,0%,0%,0%,Vital
abl,Lampung Nyo,Lampung Nyo is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Emerging
abm,Abanyom,Abanyom is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
abn,Abua,"Abua is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
abo,Abon,"Abon is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
abp,Abellen Ayta,Abellen Ayta is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is taught as a subject of instruction in some schools.,Less than 10K,0%,0%,100%,0%,Ascending
abq,Abaza,Abaza is a stable indigenous language of the Russian Federation. It belongs to the Abkhaz-Adyghe language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
abr,Abron,"Abron is a stable indigenous language of Ghana and Côte d’Ivoire. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,0%,100%,0%,0%,Ascending
abs,Ambonese Malay,Ambonese Malay is a language of wider communication that originated in Indonesia. It is a Malay-based creole and used primarily as a second language. It is not known to be taught in schools.,1M to 1B,100%,0%,0%,0%,Ascending
abt,Ambulas,"Ambulas is a stable indigenous language of Papua New Guinea. It belongs to the Sepik language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
abu,Abure,"Abure is a stable indigenous language of Côte d’Ivoire. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
abv,Baharna Arabic,"Baharna Arabic is a language of wider communication that originated in Bahrain and Saudi Arabia. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,100%,0%,0%,0%,Emerging
abw,Pal,Pal is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
abx,Inabaknon,Inabaknon is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
aby,Aneme Wake,"Aneme Wake is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
abz,Abui,"Abui is a stable indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
aca,Achagua,"Achagua is an endangered indigenous language of Colombia. It belongs to the Maipurean language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
acb,Áncá,"Áncá is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",None,0%,100%,0%,0%,Still
acd,Gikyode,Gikyode is a stable indigenous language of Ghana. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
ace,Aceh,"Aceh is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is taught as a subject of instruction in some schools.",1M to 1B,0%,0%,100%,0%,Ascending
acf,Lesser Antillean French Creole,"Lesser Antillean French Creole is a stable indigenous language of Saint Lucia, Dominica, Grenada, and Martinique. It is a French-based creole. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.",10K to 1M,0%,100%,0%,0%,Ascending
ach,Acholi,Acholi is a stable indigenous language of Uganda and South Sudan. It belongs to the Nilo-Saharan language family. The language is used as a first language by all in the ethnic community. It is used as a language of instruction in education.,1M to 1B,100%,0%,0%,0%,Ascending
aci,Aka-Cari,Aka-Cari is an extinct language of India. It belongs to the Andamanese language family.,None,0%,0%,0%,100%,Still
ack,Aka-Kora,Aka-Kora is an extinct language of India. It belongs to the Andamanese language family.,None,0%,0%,0%,100%,Still
acl,Akar-Bale,Akar-Bale is an extinct language of India. It belongs to the Andamanese language family.,None,0%,0%,0%,100%,Still
acm,Mesopotamian Arabic,"Mesopotamian Arabic is a language of wider communication that originated in Iraq, Iran, and Syria. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,100%,0%,0%,0%,Ascending
acn,Achang,Achang is an endangered indigenous language of China and Myanmar. It belongs to the Sino-Tibetan language family. The language is used as a first language by adults only. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
acp,"Acipa, Eastern","Eastern Acipa is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
acq,"Arabic, Ta’izzi-Adeni","Ta’izzi-Adeni Arabic is a stable indigenous language of Yemen. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,100%,0%,0%,0%,Emerging
acr,Achi,"Achi is an endangered indigenous language of Guatemala. It belongs to the Mayan language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
acs,Acroá,Acroá is an extinct language of Brazil. It belongs to the Jean language family.,None,0%,0%,0%,100%,Still
act,Achterhoeks,"Achterhoeks is a stable indigenous language of Netherlands. It belongs to the Indo-European language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
acu,Achuar-Shiwiar,Achuar-Shiwiar is a stable indigenous language of Ecuador and Peru. It belongs to the Jivaroan language family. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.,Less than 10K,0%,100%,0%,0%,Ascending
acv,Achumawi,Achumawi is an endangered indigenous language of the United States. It belongs to the Palaihnihan language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Emerging
acw,"Arabic, Hijazi","Hijazi Arabic is a stable indigenous language of Saudi Arabia. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,0%,100%,0%,0%,Emerging
acx,Omani Arabic,"Omani Arabic is a stable indigenous language of Oman. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,0%,100%,0%,0%,Emerging
acy,Cypriot Arabic,Cypriot Arabic is an endangered indigenous language of Cyprus. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
acz,Acheron,Acheron is a stable indigenous language of Sudan. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
ada,Dangme,"Dangme is a stable indigenous language of Ghana. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is used as a language of instruction in education.",1M to 1B,100%,0%,0%,0%,Ascending
adb,Atauran,"Atauran is a stable indigenous language of East Timor. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
add,Lidzonka,Lidzonka is a stable indigenous language of Cameroon and Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
ade,Adele,Adele is a stable indigenous language of Togo and Ghana. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
adf,"Arabic, Dhofari","Dhofari Arabic is a stable indigenous language of Oman. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
adg,Andegerebinha,Andegerebinha is a dormant language of Australia. It belongs to the Australian language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
adh,Jopadhola,Jopadhola is a stable indigenous language of Uganda. It belongs to the Nilo-Saharan language family. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.,10K to 1M,0%,100%,0%,0%,Ascending
adi,Adi,"Adi is a stable indigenous language of India and China. It belongs to the Sino-Tibetan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
adj,Adioukrou,"Adioukrou is a stable indigenous language of Côte d’Ivoire. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
adl,Galo Adi,Galo Adi is a stable indigenous language of India. It belongs to the Sino-Tibetan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
adn,Adang,"Adang is an endangered indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
ado,Abu,"Abu is an endangered indigenous language of Papua New Guinea. It belongs to the Ramu-Lower Sepik language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
adq,Adangbe,"Adangbe is an endangered indigenous language of Ghana and Togo. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
adr,Adonara,"Adonara is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
ads,Adamorobe Sign Language,Adamorobe Sign Language is a stable indigenous language of Ghana. It is a shared sign language. The language is used as a first language by deaf people of all ages.,None,0%,100%,0%,0%,Still
adt,Adnyamathanha,"Adnyamathanha is an endangered indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
adu,Aduge,"Aduge is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
adw,Amundava,"Amundava is an endangered indigenous language of Brazil. It belongs to the Tupian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
adx,"Tibetan, Amdo",Amdo Tibetan is a stable indigenous language of China. It belongs to the Sino-Tibetan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,1M to 1B,0%,100%,0%,0%,Ascending
ady,Adyghe,Adyghe is an endangered indigenous language of the Russian Federation. It belongs to the Abkhaz-Adyghe language family. The language is used as a first language by adults only. It is taught as a subject of instruction in some schools.,10K to 1M,0%,100%,0%,0%,Ascending
adz,Adzera,Adzera is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is used as a language of instruction in education.,10K to 1M,100%,0%,0%,0%,Emerging
aea,Areba,Areba is an extinct language of Australia. It belongs to the Australian language family.,None,0%,0%,0%,100%,Emerging
aeb,Tunisian Arabic,"Tunisian Arabic is a language of wider communication that originated in Tunisia. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,100%,0%,0%,0%,Vital
aec,"Arabic, Sa’idi","Sa’idi Arabic is a stable indigenous language of Egypt. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,0%,100%,0%,0%,Emerging
aed,Argentine Sign Language,Argentine Sign Language is a stable indigenous language of Argentina. It is a deaf community sign language. The language is used as a first language by deaf people of all ages.,10K to 1M,0%,100%,0%,0%,Emerging
aee,"Pashai, Northeast",Northeast Pashai is a stable indigenous language of Afghanistan. It belongs to the Indo-European language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Still
aek,Haeke,"Haeke is an endangered indigenous language of New Caledonia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
ael,Ambele,Ambele is a stable indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
aem,Arem,"Arem is an endangered indigenous language of Vietnam and Laos. It belongs to the Austro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
aen,Armenian Sign Language,Armenian Sign Language is a stable indigenous language of Armenia. It is a deaf community sign language. The language is used as a first language by deaf people of all ages.,Less than 10K,0%,100%,0%,0%,Emerging
aeq,Aer,"Aer is an endangered indigenous language of Pakistan. It belongs to the Indo-European language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
aer,Eastern Arrernte,"Eastern Arrernte is a stable indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in education.",Less than 10K,100%,0%,0%,0%,Ascending
aes,Alsea,Alsea is an extinct language of the United States. It is an unclassified language.,None,0%,0%,0%,100%,Emerging
aeu,Akeu,Akeu is a stable indigenous language of China. It belongs to the Sino-Tibetan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
aew,Ambakich,Ambakich is an endangered indigenous language of Papua New Guinea. It belongs to the Ramu-Lower Sepik language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
aey,Amele,"Amele is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
aez,Aeka,Aeka is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
afb,Gulf Arabic,"Gulf Arabic is a language of wider communication that originated in Kuwait, Iraq, Qatar, and Saudi Arabia. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,100%,0%,0%,0%,Ascending
afd,Andai,Andai is a stable indigenous language of Papua New Guinea. It belongs to the Arafundi language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
afe,Utugwang-Irungene-Afrike,Utugwang-Irungene-Afrike is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
afg,Afghan Sign Language,Afghan Sign Language is a stable indigenous language of Afghanistan. It is a deaf community sign language. The language is used as a first language by deaf people of all ages.,10K to 1M,0%,100%,0%,0%,Still
afi,Chini,Chini is an endangered indigenous language of Papua New Guinea. It belongs to the Ramu-Lower Sepik language family. The language is used as a first language by adults only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
afk,Nanubae,"Nanubae is an endangered indigenous language of Papua New Guinea. It belongs to the Arafundi language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
afn,Defaka,"Defaka is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
afo,Ajiri,Ajiri is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Still
afp,Tapei,Tapei is a stable indigenous language of Papua New Guinea. It belongs to the Arafundi language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
afr,Afrikaans,Afrikaans is an official national language of South Africa. It belongs to the Indo-European language family. It is used as a language of instruction in education.,1M to 1B,100%,0%,0%,0%,Vital
afs,Afro-Seminole Creole,Afro-Seminole Creole is an endangered indigenous language of Mexico. It is an English-based creole. The language is used as a first language by older adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
aft,Afitti,"Afitti is an endangered indigenous language of Sudan. It belongs to the Nilo-Saharan language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
afu,Awutu,"Awutu is a stable indigenous language of Ghana. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
afz,Obokuitai,"Obokuitai is an endangered indigenous language of Indonesia. It belongs to the Lakes Plain language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
aga,Aguano,Aguano is an extinct language of Peru. It is an unclassified language.,None,0%,0%,0%,100%,Still
agb,Legbo,Legbo is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Still
agc,Agatu,Agatu is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
agd,Agarabi,Agarabi is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
age,Angal,"Angal is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
agf,Arguni,"Arguni is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
