ISO 639-3,Language,Sentences
cbk,Chavacano,"3,116"
frr,North Frisian,"3,083"
dtp,Central Dusun,"3,057"
gle,Irish,"3,034"
mon,Mongolian,"2,791"
urd,Urdu,"2,780"
nus,Nuer,"2,702"
sqi,Albanian,"2,609"
ota,Ottoman Turkish,"2,543"
ilo,Ilocano,"2,466"
khm,Khmer,"2,463"
hrx,Hunsrik,"2,444"
arq,Algerian Arabic,"2,422"
hoc,Ho,"2,410"
war,Waray,"2,387"
kha,Khasi,"2,374"
zlm,Malay (Vernacular),"2,268"
gcf,Guadeloupean Creole French,"2,123"
lad,Ladino,"2,028"
rif,Tarifit,"2,006"
swg,Swabian,"1,990"
lij,Ligurian,"1,960"
lzh,Literary Chinese,"1,879"
xmf,Mingrelian,"1,869"
cym,Welsh,"1,784"
zza,Zaza,"1,757"
bos,Bosnian,"1,742"
grc,Ancient Greek,"1,730"
chv,Chuvash,"1,709"
ceb,Cebuano,"1,706"
dsb,Lower Sorbian,"1,573"
alt,Southern Altai,"1,562"
hsb,Upper Sorbian,"1,554"
pam,Kapampangan,"1,482"
arz,Egyptian Arabic,"1,451"
jav,Javanese,"1,434"
unknown,unknown,"1,403"
pcd,Picard,"1,351"
orv,Old East Slavic,"1,312"
uzb,Uzbek,"1,192"
gla,Scottish Gaelic,"1,097"
bua,Buryat,"1,062"
sdh,Southern Kurdish,"1,050"
rom,Romani,"1,042"
ltz,Luxembourgish,"1,036"
sah,Yakut,"1,005"
csb,Kashubian,988
isv,Interslavic,980
guc,Wayuu,913
mal,Malayalam,884
ava,Avar,873
szl,Silesian,871
xal,Kalmyk,870
pms,Piedmontese,822
ast,Asturian,814
nov,Novial,796
nst,Naga (Tangshang),793
bzt,Brithenig,784
sun,Sundanese,726
fry,Frisian,717
shy,Tachawit,714
mlt,Maltese,694
mus,Muskogee (Creek),635
fkv,Kven Finnish,610
thv,Tahaggart Tamahaq,592
mya,Burmese,583
izh,Ingrian,580
arn,Mapuche,565
tpn,Tupinambá,563
tam,Tamil,561
kir,Kyrgyz,559
crh,Crimean Tatar,544
ckt,Chukchi,531
gsw,Swiss German,493
nan,Min Nan Chinese,487
mri,Maori,470
ain,Ainu,464
fao,Faroese,435
que,Quechua,435
max,North Moluccan Malay,427
ang,Old English,405
vep,Veps,404
ori,Odia (Oriya),403
lug,Luganda,380
bak,Bashkir,362
cha,Chamorro,350
tzl,Talossan,345
ltg,Latgalian,339
amh,Amharic,326
kan,Kannada,325
mfa,Kelantan-Pattani Malay,319
tel,Telugu,318
krc,Karachay-Balkar,311
tum,Tumbuka,307
nog,Nogai,307
vec,Venetian,298
kas,Kashmiri,280
lez,Lezgi,272
got,Gothic,269
xho,Xhosa,259
awa,Awadhi,253
bar,Bavarian,250
otk,Old Turkish,246
nah,Nahuatl,234
lao,Lao,229
sme,Northern Sami,224
lzz,Laz,220
tmr,Jewish Babylonian Aramaic,220
pan,Punjabi (Eastern),219
fro,Old French,216
mwl,Mirandese,212
som,Somali,199
srn,Sranan Tongo,198
ldn,Láadan,197
krl,Karelian,196
haw,Hawaiian,192
sux,Sumerian,183
kal,Greenlandic,178
guj,Gujarati,169
qya,Quenya,168
stq,Saterland Frisian,168
san,Sanskrit,166
liv,Livonian,162
hbo,Ancient Hebrew,159
bjn,Banjar,157
enm,Middle English,155
kum,Kumyk,155
bal,Baluchi,146
egl,Emilian,144
skr,Saraiki,134
kbd,Kabardian,131
mik,Hitchiti,131
myv,Erzya,130
sjn,Sindarin,127
afb,Gulf Arabic,125
cho,Choctaw,124
ajp,South Levantine Arabic,123
min,Minangkabau,121
rue,Rusyn,117
yor,Yoruba,116
evn,Evenki,116
non,Old Norse,113
oji,Ojibwe,111
zul,Zulu,111
dws,Dutton World Speedwords,107
wol,Wolof,107
hat,Haitian Creole,107
tet,Tetun,104
njo,Ao Naga,104
arg,Aragonese,104
tpi,Tok Pisin,103
apc,North Levantine Arabic,102
iba,Iban,99
ary,Moroccan Arabic,99
bvy,Baybayanon,97
shs,Shuswap,95
sco,Scots,92
mww,Hmong Daw (White),91
pap,Papiamento,89
mrj,Hill Mari,89
tyv,Tuvinian,89
kjh,Khakas,88
nav,Navajo,87
hyw,Western Armenian,87
lld,Ladin,86
cmo,Central Mnong,85
ext,Extremaduran,84
smo,Samoan,83
ksh,Kölsch,82
afh,Afrihili,79
tgk,Tajik,79
moh,Mohawk,76
sin,Sinhala,75
kpv,Komi-Zyrian,75
mlg,Malagasy,73
pnb,Punjabi (Western),73
gag,Gagauz,69
cycl,CycL,66
crs,Seychellois Creole,66
tly,Talysh,66
hak,Hakka Chinese,64
nap,Neapolitan,64
bam,Bambara,63
kaa,Karakalpak,63
iii,Nuosu,63
pag,Pangasinan,62
pus,Pashto,61
mgm,Mambae,60
lut,Lushootseed,59
ppl,Pipil,59
sma,Southern Sami,59
bod,Tibetan,58
bfz,Mahasu Pahari,57
pdc,Pennsylvania German,57
bho,Bhojpuri,55
tts,Isan,55
pal,Middle Persian (Pahlavi),53
chn,Chinook Jargon,53
wln,Walloon,53
crk,Plains Cree,52
bom,Berom,52
ike,Inuktitut,51
acm,Iraqi Arabic,48
sna,Shona,48
sgs,Samogitian,47
lim,Limburgish,47
ibo,Igbo,46
che,Chechen,46
nya,Chinyanja,44
koi,Komi-Permyak,44
hil,Hiligaynon,44
drt,Drents,44
fij,Fijian,43
ngu,Guerrero Nahuatl,43
ryu,Okinawan,42
tsn,Setswana,41
div,Dhivehi,40
dar,Dargwa,40
nch,Central Huasteca Nahuatl,39
glv,Manx,39
abk,Abkhaz,37
gbm,Garhwali,36
niu,Niuean,35
fuv,Nigerian Fulfulde,35
scn,Sicilian,35
igs,Interglossa,34
fur,Friulian,34
pau,Palauan,34
hif,Fiji Hindi,34
jam,Jamaican Patois,34
rap,Rapa Nui,33
frm,Middle French,33
osp,Old Spanish,33
yua,Yucatec Maya,33
ady,Adyghe,32
cay,Cayuga,32
kin,Kinyarwanda,31
dng,Dungan,31
chr,Cherokee,30
gaa,Ga,30
tah,Tahitian,30
umb,Umbundu,30
lmo,Lombard,29
ood,O'odham,28
aln,Gheg Albanian,28
bis,Bislama,28
mvv,Tagal Murut,28
cos,Corsican,28
akl,Aklanon,28
mah,Marshallese,27
ewe,Ewe,26
roh,Romansh,26
lkt,Lakota,25
kek,Kekchi (Q'eqchi'),24
aoz,Uab Meto,24
qxq,Qashqai,24
ton,Tongan,24
klj,Khalaj,22
oar,Old Aramaic,22
lou,Louisiana Creole,22
pli,Pali,21
toi,Tonga (Zambezi),20
inh,Ingush,20
ngt,Ngeq,19
cjy,Jin Chinese,18
mic,Mi'kmaq,18
jpa,Jewish Palestinian Aramaic,17
new,Newari,17
syl,Sylheti,16
srd,Sardinian,16
sva,Svan,16
tvl,Tuvaluan,15
mdr,Mandar,15
bcl,Central Bikol,15
vro,Võro,15
phn,Phoenician,15
urh,Urhobo,14
gil,Gilbertese,14
nlv,Orizaba Nahuatl,14
lbe,Lak,13
aym,Aymara,13
ofs,Old Frisian,13
zea,Zeelandic,12
mnr,Mono (USA),12
sag,Sango,12
emx,Erromintxela,12
tkl,Tokelauan,12
abq,Abaza,12
xqa,Karakhanid,12
fuc,Pulaar,12
nau,Nauruan,11
mni,Meitei,11
brx,Bodo,11
gom,Konkani (Goan),10
laa,Southern Subanen,10
gaz,West-Central Oromo,10
kam,Kamba,10
mnw,Mon,9
jdt,Juhuri (Judeo-Tat),9
mdf,Moksha,9
chg,Chagatai,9
mai,Maithili,8
guw,Gun,8
mad,Madurese,8
quc,K'iche',8
cpi,Chinese Pidgin English,7
ban,Balinese,7
ssw,Swazi,7
diq,Southern Zaza (Dimli),7
snd,Sindhi,6
aii,Assyrian Neo-Aramaic,6
mfe,Morisyen,6
kiu,Northern Zaza (Kirmanjki),6
tmw,Temuan,5
kxi,Keningau Murut,4
tso,Tsonga,4
hnj,Hmong Njua (Green),4
hsn,Xiang Chinese,4
pfl,Palatine German,3
hdn,Northern Haida,3
osx,Old Saxon,3
gan,Gan Chinese,3
syc,Syriac,3
ayl,Libyan Arabic,3
sot,Southern Sotho,2
mnc,Manchu,2
rel,Rendille,2
nys,Nyungar,2
hax,Southern Haida,1
cyo,Cuyonon,1
